player name
David Pastrnak
Alex DeBrincat
Mark Scheifele
Artemi Panarin
Jordan Kyrou
Pavel Dorofeyev
Jason Robertson
Morgan Geekie
Adam Fantilli
Ryan Donato
Bryan Rust
Cale Makar
Dylan Larkin
Anders Lee
Sebastian Aho
